AREA_NM,BRDCST_DE,WTCHNG_TIME,MALE_4_9YO_WTCHNG_TIME,MALE_N10S_WTCHNG_TIME,MALE_N20S_WTCHNG_TIME,MALE_N30S_WTCHNG_TIME,MALE_N40S_WTCHNG_TIME,MALE_N50S_WTCHNG_TIME,MALE_N60S_ABOVE_WTCHNG_TIME,FEMALE_4_9YO_WTCHNG_TIME,FEMALE_N10S_WTCHNG_TIME,FEMALE_N20S_WTCHNG_TIME,FEMALE_N30S_WTCHNG_TIME,FEMALE_N40S_WTCHNG_TIME,FEMALE_N50S_WTCHNG_TIME,FEMALE_N60S_ABOVE_WTCHNG_TIME
"전국","20210701","0411","0257","0136","0141","0259","0324","0413","0633","0235","0159","0207","0329","0405","0551","0728"
"전국","20210702","0406","0240","0133","0143","0249","0326","0416","0620","0243","0203","0207","0324","0425","0531","0712"
"전국","20210703","0506","0343","0213","0222","0341","0444","0545","0728","0331","0252","0240","0413","0524","0653","0808"
"전국","20210704","0524","0322","0217","0208","0357","0508","0638","0747","0307","0246","0247","0418","0601","0729","0839"
"전국","20210705","0409","0221","0131","0139","0247","0333","0428","0641","0223","0218","0203","0311","0423","0541","0712"
"전국","20210706","0412","0159","0126","0149","0250","0327","0441","0643","0241","0147","0203","0316","0429","0534","0735"
"전국","20210707","0412","0203","0121","0142","0248","0340","0444","0643","0219","0148","0203","0314","0429","0546","0723"
"전국","20210708","0409","0157","0123","0131","0250","0335","0434","0639","0220","0146","0214","0317","0419","0544","0724"
"전국","20210709","0417","0232","0128","0131","0257","0351","0446","0644","0243","0154","0211","0325","0428","0549","0729"
"전국","20210710","0457","0304","0209","0208","0340","0441","0546","0704","0306","0226","0239","0355","0553","0643","0752"
"전국","20210711","0525","0316","0215","0219","0346","0513","0642","0748","0316","0241","0249","0421","0611","0735","0827"
"전국","20210712","0414","0249","0119","0144","0252","0333","0435","0642","0242","0156","0214","0317","0410","0557","0730"
"전국","20210713","0405","0220","0133","0128","0249","0324","0427","0644","0238","0138","0152","0309","0404","0523","0732"
"전국","20210714","0406","0214","0125","0146","0240","0307","0438","0634","0209","0139","0212","0316","0417","0548","0719"
"전국","20210715","0415","0217","0122","0153","0300","0336","0438","0633","0310","0154","0204","0318","0424","0550","0733"
"전국","20210716","0413","0231","0143","0144","0249","0335","0447","0627","0241","0211","0216","0309","0414","0545","0726"
"전국","20210717","0457","0250","0216","0208","0313","0444","0548","0712","0237","0244","0235","0342","0527","0646","0818"
"전국","20210718","0527","0259","0217","0234","0338","0515","0647","0750","0232","0313","0305","0358","0611","0740","0836"
"전국","20210719","0407","0204","0125","0142","0244","0334","0441","0641","0247","0146","0207","0306","0351","0542","0721"
"전국","20210720","0404","0221","0120","0146","0246","0322","0432","0620","0231","0156","0219","0306","0356","0543","0709"
"전국","20210721","0411","0232","0140","0150","0252","0342","0447","0628","0225","0155","0200","0317","0432","0531","0714"
"전국","20210722","0415","0228","0152","0144","0258","0339","0458","0629","0255","0207","0206","0302","0423","0553","0719"
"전국","20210723","0414","0227","0135","0152","0310","0310","0449","0637","0259","0212","0208","0315","0403","0554","0729"
"전국","20210724","0506","0242","0218","0219","0337","0448","0553","0710","0320","0300","0313","0358","0521","0709","0807"
"전국","20210725","0539","0323","0219","0235","0406","0520","0709","0744","0308","0312","0335","0432","0607","0807","0831"
"전국","20210726","0434","0323","0206","0150","0307","0353","0534","0637","0228","0232","0237","0339","0449","0611","0735"
"전국","20210727","0438","0325","0158","0152","0316","0350","0536","0646","0304","0239","0238","0334","0500","0614","0741"
"전국","20210728","0437","0303","0159","0206","0320","0352","0526","0649","0257","0227","0220","0336","0445","0626","0740"
"전국","20210729","0439","0311","0155","0150","0307","0401","0526","0656","0301","0256","0242","0329","0505","0612","0745"
"전국","20210730","0446","0336","0209","0205","0320","0410","0523","0653","0333","0249","0256","0341","0503","0622","0744"
"전국","20210731","0521","0358","0239","0203","0417","0513","0623","0735","0337","0327","0307","0413","0546","0708","0759"
"서울","20210701","0341","0104","0119","0135","0137","0210","0324","0621","0101","0240","0148","0248","0333","0632","0708"
"서울","20210702","0326","0146","0057","0126","0129","0200","0320","0608","0106","0201","0135","0240","0328","0534","0644"
"서울","20210703","0443","0439","0216","0204","0207","0324","0503","0738","0231","0338","0222","0345","0458","0655","0803"
"서울","20210704","0508","0318","0212","0153","0227","0421","0652","0805","0258","0329","0211","0353","0534","0818","0810"
"서울","20210705","0326","0226","0057","0126","0113","0221","0344","0630","0004","0256","0114","0223","0301","0530","0637"
"서울","20210706","0328","0154","0058","0139","0141","0204","0358","0555","0112","0202","0112","0201","0333","0539","0657"
"서울","20210707","0337","0212","0037","0118","0109","0243","0420","0635","0102","0206","0102","0217","0403","0633","0636"
"서울","20210708","0326","0156","0048","0058","0058","0222","0415","0603","0040","0220","0121","0218","0328","0557","0644"
"서울","20210709","0340","0206","0100","0111","0116","0220","0434","0613","0045","0215","0131","0245","0316","0636","0708"
"서울","20210710","0425","0242","0153","0141","0138","0346","0610","0650","0200","0338","0147","0246","0445","0654","0745"
"서울","20210711","0511","0213","0223","0228","0215","0417","0641","0814","0207","0359","0226","0344","0533","0731","0855"
"서울","20210712","0332","0156","0053","0120","0105","0200","0457","0618","0113","0234","0123","0147","0247","0643","0647"
"서울","20210713","0330","0135","0056","0116","0107","0223","0447","0627","0127","0220","0050","0211","0302","0543","0706"
"서울","20210714","0341","0117","0100","0142","0055","0143","0449","0620","0134","0210","0154","0217","0329","0609","0731"
"서울","20210715","0342","0157","0046","0130","0114","0204","0507","0629","0248","0226","0126","0228","0339","0531","0714"
"서울","20210716","0344","0149","0117","0118","0100","0207","0450","0623","0228","0232","0140","0209","0328","0616","0732"
"서울","20210717","0437","0335","0210","0216","0144","0411","0613","0712","0317","0329","0150","0203","0431","0656","0823"
"서울","20210718","0501","0309","0232","0233","0158","0424","0647","0801","0159","0442","0204","0236","0506","0806","0813"
"서울","20210719","0329","0134","0054","0123","0059","0157","0406","0646","0212","0214","0114","0217","0217","0543","0721"
"서울","20210720","0336","0223","0056","0138","0120","0213","0443","0556","0115","0250","0150","0215","0238","0623","0652"
"서울","20210721","0347","0244","0124","0141","0128","0325","0522","0553","0116","0218","0109","0233","0353","0557","0647"
"서울","20210722","0350","0221","0114","0122","0112","0303","0523","0633","0222","0228","0113","0202","0327","0611","0728"
"서울","20210723","0358","0322","0102","0156","0117","0230","0506","0647","0153","0227","0131","0237","0259","0657","0740"
"서울","20210724","0437","0151","0157","0225","0154","0325","0608","0713","0116","0406","0234","0250","0416","0813","0737"
"서울","20210725","0524","0227","0206","0249","0308","0419","0721","0735","0337","0454","0314","0352","0448","0859","0820"
"서울","20210726","0404","0320","0125","0116","0132","0245","0528","0611","0154","0305","0145","0306","0345","0712","0723"
"서울","20210727","0410","0353","0124","0131","0200","0315","0547","0634","0139","0311","0202","0230","0335","0715","0707"
"서울","20210728","0404","0206","0114","0136","0135","0310","0525","0617","0103","0351","0149","0231","0351","0713","0715"
"서울","20210729","0405","0225","0036","0121","0102","0315","0548","0701","0045","0318","0253","0212","0328","0656","0712"
"서울","20210730","0428","0218","0158","0205","0115","0340","0558","0651","0140","0330","0313","0244","0401","0706","0746"
"서울","20210731","0459","0512","0159","0150","0155","0437","0610","0746","0150","0404","0310","0339","0505","0814","0728"
"경기·인천","20210701","0344","0248","0142","0047","0257","0323","0345","0551","0308","0117","0143","0329","0407","0500","0716"
"경기·인천","20210702","0346","0218","0128","0047","0249","0320","0340","0547","0400","0130","0202","0335","0426","0502","0715"
"경기·인천","20210703","0434","0244","0152","0124","0329","0500","0518","0643","0358","0150","0212","0349","0509","0620","0753"
"경기·인천","20210704","0503","0315","0206","0114","0409","0512","0602","0707","0412","0154","0249","0418","0554","0635","0909"
"경기·인천","20210705","0334","0157","0138","0056","0233","0340","0328","0553","0311","0126","0144","0242","0413","0434","0650"
"경기·인천","20210706","0330","0148","0137","0045","0227","0316","0339","0542","0320","0115","0142","0300","0420","0426","0642"
"경기·인천","20210707","0329","0204","0134","0032","0242","0329","0318","0537","0320","0111","0203","0306","0421","0419","0635"
"경기·인천","20210708","0338","0149","0141","0042","0234","0309","0336","0554","0329","0123","0214","0256","0424","0435","0716"
"경기·인천","20210709","0349","0255","0137","0038","0252","0348","0353","0604","0400","0132","0153","0307","0430","0441","0719"
"경기·인천","20210710","0432","0305","0154","0114","0331","0432","0503","0623","0436","0145","0224","0352","0611","0611","0728"
"경기·인천","20210711","0502","0335","0224","0121","0352","0520","0602","0704","0402","0204","0210","0356","0625","0709","0828"
"경기·인천","20210712","0349","0239","0131","0043","0254","0323","0350","0606","0403","0137","0153","0310","0439","0455","0719"
"경기·인천","20210713","0338","0230","0152","0042","0305","0259","0345","0557","0337","0111","0141","0301","0406","0428","0720"
"경기·인천","20210714","0340","0223","0131","0038","0233","0250","0354","0609","0300","0108","0201","0315","0421","0459","0713"
"경기·인천","20210715","0343","0230","0134","0103","0252","0325","0356","0524","0352","0129","0145","0307","0426","0506","0700"
"경기·인천","20210716","0342","0245","0208","0037","0245","0337","0349","0542","0355","0151","0157","0307","0358","0442","0659"
"경기·인천","20210717","0435","0245","0153","0051","0308","0500","0447","0648","0314","0216","0149","0357","0607","0621","0821"
"경기·인천","20210718","0502","0312","0214","0132","0328","0513","0538","0650","0335","0246","0235","0415","0641","0652","0844"
"경기·인천","20210719","0346","0206","0138","0031","0252","0349","0404","0608","0404","0112","0136","0308","0430","0501","0654"
"경기·인천","20210720","0343","0231","0128","0057","0248","0341","0401","0535","0328","0109","0209","0313","0401","0500","0703"
"경기·인천","20210721","0349","0258","0221","0049","0248","0333","0335","0605","0321","0124","0141","0301","0454","0454","0716"
"경기·인천","20210722","0344","0245","0246","0057","0307","0303","0400","0521","0343","0128","0148","0300","0439","0453","0642"
"경기·인천","20210723","0346","0207","0206","0103","0313","0304","0356","0549","0424","0137","0131","0258","0356","0509","0720"
"경기·인천","20210724","0451","0235","0230","0112","0411","0512","0456","0617","0448","0135","0307","0440","0606","0617","0831"
"경기·인천","20210725","0516","0251","0226","0135","0422","0521","0638","0700","0315","0209","0310","0428","0659","0723","0832"
"경기·인천","20210726","0410","0256","0233","0059","0318","0335","0459","0620","0256","0217","0218","0327","0504","0523","0711"
"경기·인천","20210727","0415","0244","0223","0107","0335","0331","0444","0609","0337","0222","0215","0342","0514","0534","0732"
"경기·인천","20210728","0411","0252","0234","0114","0328","0331","0440","0610","0353","0157","0207","0317","0504","0540","0715"
"경기·인천","20210729","0409","0227","0219","0045","0312","0340","0420","0618","0330","0229","0208","0326","0533","0519","0724"
"경기·인천","20210730","0421","0317","0226","0054","0317","0358","0501","0617","0346","0222","0220","0319","0547","0544","0728"
"경기·인천","20210731","0454","0340","0255","0042","0434","0520","0546","0652","0431","0243","0234","0347","0611","0621","0733"
"부산","20210701","0538","0528","0320","0318","0323","0516","0612","0707","0356","0350","0431","0507","0404","0710","0824"
"부산","20210702","0537","0607","0333","0314","0250","0557","0611","0722","0305","0404","0358","0504","0433","0659","0804"
"부산","20210703","0654","0758","0421","0316","0345","0725","0842","0802","0359","0524","0453","0649","0529","0824","0959"
"부산","20210704","0714","0426","0442","0411","0432","0720","0903","0903","0221","0536","0511","0625","0620","0937","1001"
"부산","20210705","0604","0434","0149","0359","0326","0552","0658","0847","0407","0302","0438","0550","0413","0717","0859"
"부산","20210706","0558","0156","0126","0407","0328","0543","0734","0807","0446","0254","0345","0523","0347","0740","0940"
"부산","20210707","0554","0312","0206","0433","0313","0507","0735","0803","0305","0220","0320","0532","0359","0753","0924"
"부산","20210708","0553","0240","0232","0400","0409","0513","0627","0801","0407","0250","0448","0558","0346","0737","0853"
